Running simulation: 3 nodes, scenario 2.
3.86425 117 0 3.86425 0.03925 0.2 3.625
3.8955 118 0 3.8955 0.03925 0.2 3.65625
3.92675 119 0 3.92675 0.03925 0.2 3.6875
3.958 120 0 3.958 0.03925 0.2 3.71875
3.98925 121 0 3.98925 0.03925 0.2 3.75
4.0205 122 0 4.0205 0.03925 0.2 3.78125
4.05175 123 0 4.05175 0.03925 0.2 3.8125
4.083 124 0 4.083 0.03925 0.2 3.84375
4.11425 125 0 4.11425 0.03925 0.2 3.875
4.1455 126 0 4.1455 0.03925 0.2 3.90625
4.17675 127 0 4.17675 0.03925 0.2 3.9375
4.208 128 0 4.208 0.03925 0.2 3.96875
4.23925 129 0 4.23925 0.03925 0.2 4.0
4.2705 130 0 4.2705 0.03925 0.2 4.03125
4.30175 131 0 4.30175 0.03925 0.2 4.0625
4.333 132 0 4.333 0.03925 0.2 4.09375
4.36425 133 0 4.36425 0.03925 0.2 4.125
4.3955 134 0 4.3955 0.03925 0.2 4.15625
4.42675 135 0 4.42675 0.03925 0.2 4.1875
4.458 136 0 4.458 0.03925 0.2 4.21875
4.48925 137 0 4.48925 0.03925 0.2 4.25
4.5205 138 0 4.5205 0.03925 0.2 4.28125
4.55175 139 0 4.55175 0.03925 0.2 4.3125
4.583 140 0 4.583 0.03925 0.2 4.34375
4.61425 141 0 4.61425 0.03925 0.2 4.375
4.6455 142 0 4.6455 0.03925 0.2 4.40625
4.67675 143 0 4.67675 0.03925 0.2 4.4375
4.708 144 0 4.708 0.03925 0.2 4.46875
4.73925 145 0 4.73925 0.03925 0.2 4.5
4.7705 146 0 4.7705 0.03925 0.2 4.53125
4.80175 147 0 4.80175 0.03925 0.2 4.5625
4.833 148 0 4.833 0.03925 0.2 4.59375
4.86425 149 0 4.86425 0.03925 0.2 4.625
4.8955 150 0 4.8955 0.03925 0.2 4.65625
4.92675 151 0 4.92675 0.03925 0.2 4.6875
4.958 152 0 4.958 0.03925 0.2 4.71875
4.98925 153 0 4.98925 0.03925 0.2 4.75
5.0205 154 0 5.0205 0.03925 0.2 4.78125
5.05175 155 0 5.05175 0.03925 0.2 4.8125
5.083 156 0 5.083 0.03925 0.2 4.84375
5.11425 157 0 5.11425 0.03925 0.2 4.875
5.1455 158 0 5.1455 0.03925 0.2 4.90625
5.17675 159 0 5.17675 0.03925 0.2 4.9375
5.208 160 0 5.208 0.03925 0.2 4.96875
5.23925 161 0 5.23925 0.03925 0.2 5.0
5.2705 162 0 5.2705 0.03925 0.2 5.03125
5.30175 163 0 5.30175 0.03925 0.2 5.0625
5.333 164 0 5.333 0.03925 0.2 5.09375
5.36425 165 0 5.36425 0.03925 0.2 5.125
5.3955 166 0 5.3955 0.03925 0.2 5.15625
5.42675 167 0 5.42675 0.03925 0.2 5.1875
5.458 168 0 5.458 0.03925 0.2 5.21875
5.48925 169 0 5.48925 0.03925 0.2 5.25
5.5205 170 0 5.5205 0.03925 0.2 5.28125
5.55175 171 0 5.55175 0.03925 0.2 5.3125
5.583 172 0 5.583 0.03925 0.2 5.34375
5.61425 173 0 5.61425 0.03925 0.2 5.375
5.6455 174 0 5.6455 0.03925 0.2 5.40625
5.67675 175 0 5.67675 0.03925 0.2 5.4375
5.708 176 0 5.708 0.03925 0.2 5.46875
5.73925 177 0 5.73925 0.03925 0.2 5.5
5.7705 178 0 5.7705 0.03925 0.2 5.53125
5.80175 179 0 5.80175 0.03925 0.2 5.5625
5.833 180 0 5.833 0.03925 0.2 5.59375
5.86425 181 0 5.86425 0.03925 0.2 5.625
5.8955 182 0 5.8955 0.03925 0.2 5.65625
5.92675 183 0 5.92675 0.03925 0.2 5.6875
5.958 184 0 5.958 0.03925 0.2 5.71875
5.98925 185 0 5.98925 0.03925 0.2 5.75
6.0205 186 0 6.0205 0.03925 0.2 5.78125
6.05175 187 0 6.05175 0.03925 0.2 5.8125
6.083 188 0 6.083 0.03925 0.2 5.84375
6.11425 189 0 6.11425 0.03925 0.2 5.875
6.1455 190 0 6.1455 0.03925 0.2 5.90625
6.17675 191 0 6.17675 0.03925 0.2 5.9375
6.208 192 0 6.208 0.03925 0.2 5.96875
6.23925 193 0 6.23925 0.03925 0.2 6.0
6.2705 194 0 6.2705 0.03925 0.2 6.03125
6.30175 195 0 6.30175 0.03925 0.2 6.0625
