Running simulation: 3 nodes, scenario 1b.
0.200856 106 0 0.200856 1.6e-05 0.2 0.00084
0.200864 107 0 0.200864 1.6e-05 0.2 0.000848
0.200872 108 0 0.200872 1.6e-05 0.2 0.000856
0.20088 109 0 0.20088 1.6e-05 0.2 0.000864
0.200888 110 0 0.200888 1.6e-05 0.2 0.000872
0.200896 111 0 0.200896 1.6e-05 0.2 0.00088
0.200904 112 0 0.200904 1.6e-05 0.2 0.000888
0.200912 113 0 0.200912 1.6e-05 0.2 0.000896
0.20092 114 0 0.20092 1.6e-05 0.2 0.000904
0.200928 115 0 0.200928 1.6e-05 0.2 0.000912
0.200936 116 0 0.200936 1.6e-05 0.2 0.00092
0.200944 117 0 0.200944 1.6e-05 0.2 0.000928
0.200952 118 0 0.200952 1.6e-05 0.2 0.000936
0.20096 119 0 0.20096 1.6e-05 0.2 0.000944
0.200968 120 0 0.200968 1.6e-05 0.2 0.000952
0.200976 121 0 0.200976 1.6e-05 0.2 0.00096
0.200984 122 0 0.200984 1.6e-05 0.2 0.000968
0.200992 123 0 0.200992 1.6e-05 0.2 0.000976
0.201 124 0 0.201 1.6e-05 0.2 0.000984
0.201008 125 0 0.201008 1.6e-05 0.2 0.000992
0.201016 126 0 0.201016 1.6e-05 0.2 0.001
0.201024 127 0 0.201024 1.6e-05 0.2 0.001008
0.201032 128 0 0.201032 1.6e-05 0.2 0.001016
0.20104 129 0 0.20104 1.6e-05 0.2 0.001024
0.201048 130 0 0.201048 1.6e-05 0.2 0.001032
0.201056 131 0 0.201056 1.6e-05 0.2 0.00104
0.201064 132 0 0.201064 1.6e-05 0.2 0.001048
0.201072 133 0 0.201072 1.6e-05 0.2 0.001056
0.20108 134 0 0.20108 1.6e-05 0.2 0.001064
0.201088 135 0 0.201088 1.6e-05 0.2 0.001072
0.201096 136 0 0.201096 1.6e-05 0.2 0.00108
0.201104 137 0 0.201104 1.6e-05 0.2 0.001088
0.201112 138 0 0.201112 1.6e-05 0.2 0.001096
0.20112 139 0 0.20112 1.6e-05 0.2 0.001104
0.201128 140 0 0.201128 1.6e-05 0.2 0.001112
0.201136 141 0 0.201136 1.6e-05 0.2 0.00112
0.201144 142 0 0.201144 1.6e-05 0.2 0.001128
0.201152 143 0 0.201152 1.6e-05 0.2 0.001136
0.20116 144 0 0.20116 1.6e-05 0.2 0.001144
0.201168 145 0 0.201168 1.6e-05 0.2 0.001152
0.201176 146 0 0.201176 1.6e-05 0.2 0.00116
0.201184 147 0 0.201184 1.6e-05 0.2 0.001168
0.201192 148 0 0.201192 1.6e-05 0.2 0.001176
